code_commune;commune_name;total_logements;residences_principales;residences_secondaires;taux_rsecocc_pct;classe_rsecocc
47179;Monsempron-Libos;1230.0;1062.0;23.0;1.869918699186992;Très faible (0-5%)
47180;Montagnac-Sur-Auvignon;324.2502243554;283.248576126548;4.4326106193354;1.3670339405770038;Très faible (0-5%)
47181;Montagnac-Sur-Lède;197.111035294189;130.207481994697;47.3471300273333;24.02053743803208;Élevé (20-40%)
47182;Montastruc;147.51901740783;110.042534790243;24.0920245398773;16.331470316991513;Moyen (10-20%)
47183;Montauriol;144.0;109.0;21.0;14.583333333333334;Moyen (10-20%)
47184;Montaut;165.43638084364;117.219558674026;33.2160330501787;20.07782863768786;Élevé (20-40%)
47185;Montayral;1525.0;1326.0;49.0;3.21311475409836;Très faible (0-5%)
47186;Montesquieu;395.229078990003;325.381215742139;19.7006793776025;4.984622950301897;Très faible (0-5%)
47187;Monteton;178.0;140.0;28.0;15.730337078651685;Moyen (10-20%)
47188;Montignac-De-Lauzun;196.0;130.0;38.0;19.387755102040817;Moyen (10-20%)
47189;Montignac-Toupinerie;79.0;66.0;10.0;12.658227848101266;Moyen (10-20%)
47190;Montpezat;350.667698465518;263.965632675067;46.5230596924372;13.266993194986826;Moyen (10-20%)
47191;Montpouillan;366.0;336.0;9.0;2.459016393442623;Très faible (0-5%)
47192;Monviel;64.0;40.0;13.0;20.3125;Élevé (20-40%)
47193;Moulinet;128.0;90.0;21.0;16.40625;Moyen (10-20%)
47194;Moustier;182.013464104894;145.606764597504;21.2372413793106;11.667950766033233;Moyen (10-20%)
47195;Nérac;4248.53979500696;3367.23936755601;179.505380504969;4.225107664424618;Très faible (0-5%)
47196;Nicole;136.0;104.0;7.0;5.147058823529411;Faible (5-10%)
47197;Nomdieu;119.924667135711;102.924667135711;3.0;2.501570420541667;Très faible (0-5%)
47198;Pailloles;188.0;135.0;44.0;23.404255319148938;Élevé (20-40%)
47199;Pardaillan;213.0;142.0;40.0;18.77934272300469;Moyen (10-20%)
47200;Parranquet;93.0;63.0;23.0;24.731182795698924;Élevé (20-40%)
47201;Le Passage;5212.18408045144;4704.43083024019;59.6761788096885;1.1449361321198732;Très faible (0-5%)
47202;Paulhiac;198.088060008136;136.447745099165;48.5038543546008;24.486006048324477;Élevé (20-40%)
47203;Penne-D'Agenais;1428.0;1149.0;120.0;8.403361344537815;Faible (5-10%)
47204;Peyrière;148.075046965355;128.54986710924;6.5083932853717;4.39533427053004;Très faible (0-5%)
47205;Pindères;132.261884536863;102.261884536863;20.0;15.121514463545813;Moyen (10-20%)
47206;Pinel-Hauterive;311.027799975551;257.076567948832;29.0506633990026;9.340214412115635;Faible (5-10%)
47207;Pompiey;119.370340261536;93.370340261536;22.1;18.51381168184636;Moyen (10-20%)
47208;Pompogne;113.298104718842;71.1140860272531;36.0107476635512;31.784068897634832;Élevé (20-40%)
47209;Pont-Du-Casse;2002.16219081983;1878.69791308285;18.5196416605474;0.924982089136551;Très faible (0-5%)
47210;Port-Sainte-Marie;944.707619821051;738.594994078024;43.4453083674028;4.598809986907095;Très faible (0-5%)
47211;Poudenas;191.159927164544;110.159927164544;40.0;20.924887654706705;Élevé (20-40%)
47212;Poussignac;160.650876622908;136.039411654755;13.9108280254778;8.659042712932315;Faible (5-10%)
47213;Prayssas;566.122414033709;452.737255023108;49.6060070671379;8.762417074018938;Faible (5-10%)
47214;Puch-D'Agenais;372.0;313.0;19.0;5.10752688172043;Faible (5-10%)
47215;Pujols;1876.0;1675.0;49.0;2.6119402985074625;Très faible (0-5%)
47216;Puymiclan;339.252132063183;280.476431128603;16.4984423676013;4.8631801566772745;Très faible (0-5%)
47217;Puymirol;516.967725719469;393.508345590698;55.205413878719;10.67869639287232;Moyen (10-20%)
47218;Puysserampion;145.43761036274;112.104277029407;19.7916666666667;13.608355237207045;Moyen (10-20%)
